case_id,summary,urgency_nlp,bail_eligibility_nlp,case_complexity,keywords
1,Legal case summary text 1,high,0,low,keyword1 keyword2
2,Legal case summary text 2,medium,0,low,keyword1 keyword2
3,Legal case summary text 3,medium,0,high,keyword1 keyword2
4,Legal case summary text 4,high,1,high,keyword1 keyword2
5,Legal case summary text 5,medium,0,high,keyword1 keyword2
6,Legal case summary text 6,low,1,medium,keyword1 keyword2
7,Legal case summary text 7,medium,1,high,keyword1 keyword2
8,Legal case summary text 8,high,1,low,keyword1 keyword2
9,Legal case summary text 9,medium,0,low,keyword1 keyword2
10,Legal case summary text 10,low,1,high,keyword1 keyword2
11,Legal case summary text 11,high,0,high,keyword1 keyword2
12,Legal case summary text 12,low,0,medium,keyword1 keyword2
13,Legal case summary text 13,low,0,medium,keyword1 keyword2
14,Legal case summary text 14,low,1,high,keyword1 keyword2
15,Legal case summary text 15,medium,1,high,keyword1 keyword2
16,Legal case summary text 16,medium,1,low,keyword1 keyword2
17,Legal case summary text 17,high,1,medium,keyword1 keyword2
18,Legal case summary text 18,medium,0,high,keyword1 keyword2
19,Legal case summary text 19,low,1,high,keyword1 keyword2
20,Legal case summary text 20,high,0,medium,keyword1 keyword2
21,Legal case summary text 21,high,0,medium,keyword1 keyword2
22,Legal case summary text 22,high,1,high,keyword1 keyword2
23,Legal case summary text 23,medium,0,high,keyword1 keyword2
24,Legal case summary text 24,low,1,low,keyword1 keyword2
25,Legal case summary text 25,low,0,low,keyword1 keyword2
26,Legal case summary text 26,high,0,high,keyword1 keyword2
27,Legal case summary text 27,medium,0,low,keyword1 keyword2
28,Legal case summary text 28,low,1,high,keyword1 keyword2
29,Legal case summary text 29,low,0,medium,keyword1 keyword2
30,Legal case summary text 30,low,1,low,keyword1 keyword2
31,Legal case summary text 31,low,0,medium,keyword1 keyword2
32,Legal case summary text 32,low,1,medium,keyword1 keyword2
33,Legal case summary text 33,high,1,high,keyword1 keyword2
34,Legal case summary text 34,medium,0,medium,keyword1 keyword2
35,Legal case summary text 35,high,1,low,keyword1 keyword2
36,Legal case summary text 36,high,0,low,keyword1 keyword2
37,Legal case summary text 37,medium,0,medium,keyword1 keyword2
38,Legal case summary text 38,high,0,high,keyword1 keyword2
